Player,Team,GP,MPG,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PPG,Year
Joe Johnson,BRK,80,34.9,0.7,4.1,4.8,3.6,0.7,0.2,1.7,1.5,14.4,2015
Tony Parker,SAS,68,28.7,0.2,1.7,1.9,4.9,0.6,0,2.1,1.6,14.4,2015
Serge Ibaka,OKC,64,33.1,2.1,5.7,7.8,0.9,0.5,2.4,1.5,3,14.3,2015
Mo Williams,CHA,68,29.1,0.3,2.2,2.6,6.2,0.7,0.2,2.5,2.4,14.2,2015
Thaddeus Young,BRK,76,32,1.7,3.7,5.4,2.3,1.6,0.3,1.5,2.2,14.1,2015
Luol Deng,MIA,72,33.6,1.4,3.8,5.2,1.9,0.9,0.3,1.5,1.5,14,2015
Wilson Chandler,DEN,78,31.7,1.2,4.9,6.1,1.7,0.7,0.4,1.4,3,13.9,2015
Avery Bradley,BOS,77,31.5,0.6,2.5,3.1,1.8,1.1,0.2,1.4,2.3,13.9,2015
Tim Duncan,SAS,77,28.9,2.2,6.9,9.1,3,0.8,2,1.7,2.1,13.9,2015
Andre Drummond,DET,82,30.5,5.3,8.1,13.5,0.7,0.9,1.9,1.5,3.5,13.8,2015
Ryan Anderson,NOP,61,27.5,1.8,3.1,4.8,0.9,0.5,0.3,1,1.9,13.7,2015
Robert Covington,PHI,70,27.9,0.9,3.6,4.5,1.5,1.4,0.4,1.8,2.7,13.5,2015
C.J. Miles,IND,70,26.3,0.3,2.8,3.1,1.1,0.9,0.4,1,1.9,13.5,2015
Eric Gordon,NOP,61,33.1,0.5,2.1,2.6,3.8,0.8,0.2,2,2.4,13.4,2015
Khris Middleton,MIL,79,30.1,0.6,3.8,4.4,2.3,1.5,0.1,1.4,2.3,13.4,2015
Jared Sullinger,BOS,58,27,2.5,5.1,7.6,2.3,0.8,0.7,1.3,2.6,13.3,2015
Arron Afflalo,POR,78,32.1,0.3,2.8,3.2,1.7,0.5,0.1,1.5,2.1,13.3,2015
Deron Williams,BRK,68,31.1,0.4,3.1,3.5,6.6,0.9,0.2,2.3,2.3,13,2015
Trey Burke,UTA,76,30.1,0.4,2.3,2.7,4.3,0.9,0.2,1.6,1.6,12.8,2015
Trevor Ariza,HOU,82,35.7,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8,2015
Kentavious Caldwell-Pope,DET,82,31.5,0.6,2.5,3.1,1.3,1.1,0.2,1.1,2,12.7,2015
Giannis Antetokounmpo,MIL,81,31.4,1.2,5.5,6.7,2.6,0.9,1,2.1,3.1,12.7,2015
Rodney Stuckey,IND,71,26.4,0.5,3,3.5,3.1,0.8,0.1,1.7,1.8,12.6,2015
DeMarre Carroll,ATL,70,31.3,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6,2015
Kenneth Faried,DEN,75,27.8,3.2,5.7,8.9,1.2,0.8,0.8,1.6,2.8,12.6,2015
Danilo Gallinari,DEN,59,24.2,0.5,3.2,3.7,1.4,0.8,0.3,1,1.6,12.4,2015
Josh Smith,HOU,83,27.7,1.8,4.6,6.4,3.3,1,1.4,2.5,2.7,12.4,2015
Marcin Gortat,WAS,82,29.9,2.2,6.5,8.7,1.2,0.6,1.3,1.2,2.3,12.2,2015
Kyle Korver,ATL,75,32.2,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,2015
Ben McLemore,SAC,82,32.6,0.4,2.6,2.9,1.7,0.9,0.2,1.7,2.7,12.1,2015
Gerald Henderson,CHA,80,28.9,0.5,3,3.4,2.6,0.6,0.3,1.4,1.7,12.1,2015
J.R. Smith,CLE,70,29.7,0.4,2.7,3.1,2.8,1.2,0.3,1.4,2.3,12.1,2015
Donatas Motiejunas,HOU,71,28.7,1.9,4,5.9,1.8,0.8,0.5,1.7,2.9,12,2015
Jonas Valanciunas,TOR,80,26.2,2.7,6,8.7,0.5,0.4,1.2,1.4,2.8,12,2015
Evan Fournier,ORL,58,28.6,0.5,2.2,2.6,2.1,0.7,0,1.4,2,12,2015
Jordan Hill,LAL,70,26.8,2.5,5.5,7.9,1.5,0.5,0.7,1.5,2.3,12,2015
Jarrett Jack,BRK,80,28,0.2,2.8,3.1,4.7,0.9,0.2,2.4,1.8,12,2015
Gerald Green,PHX,74,19.5,0.4,2.1,2.5,1.2,0.6,0.2,1.4,2,11.9,2015
Jordan Clarkson,LAL,59,25,0.9,2.3,3.2,3.5,0.9,0.2,1.6,1.8,11.9,2015
Paul Pierce,WAS,73,26.2,0.6,3.4,4,2,0.6,0.3,1.3,2.2,11.9,2015
Carlos Boozer,LAL,71,23.8,1.6,5.2,6.8,1.3,0.6,0.2,1.3,2.6,11.8,2015
Dion Waiters,OKC,80,27.6,0.5,1.9,2.4,2,1.1,0.3,1.4,1.9,11.8,2015
Danny Green,SAS,81,28.5,0.7,3.6,4.2,2,1.2,1.1,1.1,2,11.7,2015
Draymond Green,GSW,79,31.5,1.4,6.7,8.2,3.7,1.6,1.3,1.7,3.2,11.7,2015
David West,IND,66,28.7,1.6,5.2,6.8,3.4,0.7,0.7,1.8,2.4,11.7,2015
Aaron Brooks,CHI,82,23,0.4,1.6,2,3.2,0.7,0.2,1.9,2.3,11.6,2015
DeAndre Jordan,LAC,82,34.4,4.8,10.1,15,0.7,1,2.2,1.3,3,11.5,2015
Ersan Ilyasova,MIL,58,22.7,1.4,3.4,4.8,1,0.6,0.3,0.8,2.6,11.5,2015
Amar'e Stoudemire,DAL,59,21.1,1.9,3.7,5.6,0.8,0.5,0.6,1.3,2.7,11.5,2015
Tim Hardaway Jr.,NYK,70,24,0.2,2.1,2.2,1.8,0.3,0.2,1.2,1.7,11.5,2015
Corey Brewer,HOU,80,26.1,1,2.7,3.7,2.2,1.4,0.2,1.6,2.2,11.5,2015
O.J. Mayo,MIL,71,23.9,0.4,2.2,2.6,2.8,0.8,0.3,1.8,2.3,11.4,2015
Jeremy Lin,LAL,74,25.8,0.4,2.3,2.6,4.6,1.1,0.4,2.2,2.6,11.2,2015
Jodie Meeks,DET,60,24.4,0.2,1.5,1.7,1.3,1,0.1,0.9,1.3,11.1,2015
Maybyner Nene,WAS,67,25.3,1.3,3.9,5.1,1.8,1,0.3,1.9,2.7,11,2015
Anthony Morrow,OKC,74,24.4,0.5,2.1,2.6,0.8,0.7,0.1,0.5,1.8,10.7,2015
Brandon Bass,BOS,82,23.5,1.7,3.2,4.9,1.3,0.5,0.4,1,1.7,10.6,2015
Roy Hibbert,IND,76,25.3,2.1,5.1,7.1,1.1,0.2,1.6,1.4,2.8,10.6,2015
Manu Ginobili,SAS,70,22.7,0.4,2.6,3,4.2,1,0.3,2.2,2,10.5,2015
Marcus Morris,PHX,81,25.2,0.9,3.9,4.8,1.6,0.8,0.2,0.9,2.3,10.4,2015
Marreese Speights,GSW,76,15.9,1.4,2.8,4.3,0.9,0.3,0.4,1.1,2.5,10.4,2015
Taj Gibson,CHI,62,27.3,2.6,3.8,6.4,1.1,0.6,1.2,1.2,2.6,10.3,2015
Tyson Chandler,DAL,75,30.5,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3,2015
Kelly Olynyk,BOS,64,22.2,1.4,3.3,4.7,1.7,1,0.6,1.5,3.3,10.2,2015
Mario Chalmers,MIA,80,29.6,0.3,2.3,2.6,3.8,1.5,0.1,2.2,3.1,10.2,2015
Tyler Zeller,BOS,82,21.1,1.8,3.9,5.7,1.4,0.2,0.6,0.9,2.5,10.2,2015
Nikola Mirotic,CHI,82,20.2,0.8,4.2,4.9,1.2,0.7,0.7,1.1,2.1,10.2,2015
Zach LaVine,MIN,77,24.7,0.4,2.4,2.8,3.6,0.7,0.1,2.5,2.1,10.1,2015
Courtney Lee,MEM,77,30.6,0.3,2,2.3,2,1,0.2,1,1.7,10.1,2015
Harrison Barnes,GSW,82,28.3,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1,2015
Matt Barnes,LAC,76,29.9,0.7,3.3,4,1.5,0.9,0.7,1.1,3.2,10.1,2015
Wayne Ellington,LAL,65,25.8,0.5,2.8,3.2,1.6,0.5,0,0.8,1.2,10,2015
Dennis Schroder,ATL,77,19.7,0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,10,2015
Nerlens Noel,PHI,75,30.8,2.5,5.7,8.1,1.7,1.8,1.9,1.9,2.8,9.9,2015
Wesley Johnson,LAL,76,29.5,0.9,3.3,4.2,1.6,0.8,0.6,1.1,2.1,9.9,2015
Luc Mbah a Moute,PHI,67,28.6,1.2,3.7,4.9,1.6,1.2,0.3,1.5,1.6,9.9,2015
Terrence Ross,TOR,82,25.5,0.4,2.4,2.8,1,0.6,0.3,0.8,1.7,9.8,2015
Gorgui Dieng,MIN,73,30,3.1,5.3,8.3,2,1,1.7,1.7,2.6,9.7,2015
Timofey Mozgov,CLE,81,25.3,2.5,4.8,7.3,0.7,0.4,1.2,1.4,2.8,9.7,2015
Robin Lopez,POR,59,27.8,3.2,3.5,6.7,0.9,0.3,1.4,1.2,2.1,9.6,2015
Evan Turner,BOS,82,27.6,0.5,4.6,5.1,5.5,1,0.2,2.4,2.2,9.5,2015
D.J. Augustin,OKC,82,23.9,0.2,1.7,2,4.3,0.6,0,1.8,1.1,9.5,2015
Greivis Vasquez,TOR,82,24.3,0.3,2.4,2.6,3.7,0.6,0.1,1.5,2.2,9.5,2015
Mike Dunleavy,CHI,63,29.2,0.4,3.5,3.9,1.8,0.6,0.3,1,2,9.4,2015
Luis Scola,IND,81,20.5,1.7,4.8,6.5,1.3,0.6,0.2,1.2,2.4,9.4,2015
Nicolas Batum,POR,71,33.5,0.9,5,5.9,4.8,1.1,0.6,1.9,1.5,9.4,2015
Amir Johnson,TOR,75,26.4,2.1,4,6.1,1.6,0.6,0.8,1.5,3,9.3,2015
Marco Belinelli,SAS,62,22.4,0.4,2.1,2.5,1.5,0.5,0,1,1.4,9.2,2015
P.J. Tucker,PHX,78,30.6,1.5,5,6.4,1.6,1.4,0.3,1.2,2.3,9.1,2015
Bojan Bogdanovic,BRK,78,23.8,0.6,2.1,2.7,0.9,0.4,0.1,1,1.3,9,2015
Rajon Rondo,DAL,68,29.7,1.1,4.4,5.5,7.9,1.3,0.1,3.1,2.2,8.9,2015
Elfrid Payton,ORL,82,30.3,1.3,3,4.3,6.5,1.7,0.2,2.5,2.4,8.9,2015
Solomon Hill,IND,82,29,0.9,3,3.8,2.2,0.8,0.2,1.4,2.2,8.9,2015
Omri Casspi,SAC,67,21.1,0.8,3.1,3.9,1.5,0.5,0.1,1.3,1.6,8.9,2015
Hollis Thompson,PHI,71,25,0.7,2,2.8,1.2,0.8,0.4,0.9,2,8.8,2015
Devin Harris,DAL,76,22.2,0.2,1.6,1.8,3.1,1,0.2,1.1,1.9,8.8,2015
Mason Plumlee,BRK,82,21.3,2.1,4.1,6.2,0.9,0.8,0.8,1.3,2.5,8.7,2015
Boris Diaw,SAS,81,24.5,1,3.3,4.3,2.9,0.4,0.3,1.6,1.8,8.7,2015
Chris Kaman,POR,74,18.9,2,4.5,6.5,0.9,0.2,0.7,1.5,1.9,8.6,2015
Tony Allen,MEM,63,26.2,1.6,2.8,4.4,1.4,2,0.5,1.4,2.6,8.6,2015
Tristan Thompson,CLE,82,26.8,3.3,4.7,8,0.5,0.4,0.7,1,2.3,8.5,2015
Rudy Gobert,UTA,82,26.3,3.2,6.2,9.5,1.3,0.8,2.3,1.4,2.1,8.4,2015
Derrick Williams,SAC,74,19.8,0.6,2.2,2.7,0.7,0.5,0.1,0.8,0.9,8.3,2015
Ed Davis,LAL,79,23.3,2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3,2015
Jameer Nelson,DEN,63,22.3,0.5,1.8,2.3,4,0.7,0.1,1.7,2.2,8.3,2015
Zaza Pachulia,MIL,73,23.7,2.7,4.2,6.8,2.4,1.1,0.3,1.8,2.3,8.3,2015
Tiago Splitter,SAS,52,19.8,1.8,3.1,4.8,1.5,0.7,0.7,1.2,2,8.2,2015
Lance Stephenson,CHA,61,25.8,0.6,3.9,4.5,3.9,0.6,0.1,2.1,2.2,8.2,2015
Henry Sims,PHI,73,19.2,1.7,3.3,4.9,1.1,0.5,0.4,1.4,1.8,8,2015
Patrick Patterson,TOR,81,26.6,1.6,3.8,5.3,1.9,0.7,0.5,0.7,1.8,8,2015
Jason Smith,NYK,82,21.8,1.2,2.8,4,1.7,0.4,0.5,1.3,2.5,8,2015
Iman Shumpert,CLE,62,24.9,0.9,2.7,3.6,2.2,1.3,0.3,1.5,2.2,8,2015
Kris Humphries,WAS,64,21,1.8,4.7,6.5,0.9,0.5,0.4,0.7,2,8,2015
David Lee,GSW,49,18.5,1.7,3.6,5.2,1.7,0.6,0.5,1,1.7,7.9,2015
James Johnson,TOR,70,19.6,0.9,2.8,3.7,1.4,0.8,1,1.1,2.2,7.9,2015
K.J. McDaniels,HOU,62,21.8,1,2.2,3.2,1.2,0.7,1.1,1.7,2,7.9,2015
Andre Iguodala,GSW,77,26.9,0.6,2.8,3.3,3,1.2,0.3,1.1,1.3,7.8,2015
Marcus Smart,BOS,67,27,0.9,2.4,3.3,3.1,1.5,0.3,1.3,2.6,7.8,2015
Mike Scott,ATL,68,16.5,0.7,2.3,2.9,1.1,0.4,0,0.6,1.2,7.8,2015
Jerryd Bayless,MIL,77,22.3,0.3,2.5,2.7,3,0.8,0.2,1.7,2.1,7.8,2015
Rasual Butler,WAS,75,20.1,0.4,2.3,2.6,0.8,0.4,0.3,0.6,1.3,7.7,2015
Steven Adams,OKC,70,25.3,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,2015
Jae Crowder,BOS,82,20.1,0.9,2.7,3.6,1.1,0.9,0.3,0.6,1.7,7.7,2015
Beno Udrih,MEM,79,18.9,0.3,1.6,1.8,2.8,0.6,0.1,1.1,1.1,7.7,2015
Norris Cole,NOP,75,24.4,0.2,1.9,2.1,3.4,0.8,0.2,1.3,1.7,7.6,2015
Cody Zeller,CHA,62,24,1.6,4.3,5.8,1.6,0.5,0.8,1,2.5,7.6,2015
J.J. Hickson,DEN,73,19.3,2.1,4.1,6.2,0.8,0.5,0.5,1.3,1.9,7.6,2015
J.J. Barea,DAL,77,17.7,0.3,1.4,1.7,3.4,0.4,0,0.9,1.4,7.5,2015
Tayshaun Prince,DET,58,24.1,0.9,2.7,3.6,1.6,0.5,0.3,0.6,0.9,7.5,2015
Marvin Williams,CHA,78,26.1,0.7,4.2,4.9,1.3,0.9,0.5,0.8,1.9,7.4,2015
Ray McCallum,SAC,68,21.1,0.8,1.9,2.6,2.8,0.7,0.2,1.2,1.4,7.4,2015
Alan Anderson,BRK,74,23.6,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2,7.4,2015
Omer Asik,NOP,76,26.1,3.2,6.6,9.8,0.9,0.4,0.7,1.2,1.9,7.3,2015
Channing Frye,ORL,75,24.9,0.4,3.5,3.9,1.3,0.6,0.5,1,2.5,7.3,2015
Brandan Wright,PHX,75,19.3,1.7,2.6,4.3,0.5,0.7,1.3,0.5,1.4,7.3,2015
Joakim Noah,CHI,67,30.6,3.3,6.4,9.6,4.7,0.7,1.1,1.8,3,7.2,2015
Jared Dudley,MIL,72,23.8,0.6,2.4,3.1,1.8,1,0.2,0.9,1.6,7.2,2015
Carl Landry,SAC,70,17,1.4,2.4,3.8,0.4,0.2,0.2,0.8,1.9,7.2,2015
Trevor Booker,UTA,79,19.8,1.8,3.3,5,1.1,0.5,0.5,1.1,1.8,7.2,2015
Quincy Pondexter,NOP,75,23.9,0.7,1.9,2.6,1.3,0.3,0.3,0.7,2,7.2,2015
Lance Thomas,NYK,62,24,1,2.1,3.1,1.1,0.6,0.1,1.2,1.6,7.1,2015
Leandro Barbosa,GSW,66,14.9,0.3,1,1.4,1.5,0.6,0.1,0.7,1.3,7.1,2015
Jason Terry,HOU,77,21.3,0.2,1.4,1.6,1.9,0.9,0.2,1,1.5,7,2015
John Henson,MIL,67,18.3,1.9,2.8,4.7,0.9,0.4,2,1.3,2.3,7,2015
Austin Rivers,LAC,76,20.6,0.4,1.6,2,2,0.6,0.2,0.9,1.9,7,2015
Patty Mills,SAS,51,15.7,0.4,1.1,1.5,1.7,0.5,0,0.7,1.1,6.9,2015
Jusuf Nurkic,DEN,62,17.8,2,4.1,6.2,0.8,0.8,1.1,1.4,3.3,6.9,2015
Will Barton,DEN,58,17,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8,2015
C.J. McCollum,POR,62,15.7,0.2,1.2,1.5,1,0.7,0.1,0.8,1.3,6.8,2015
Chase Budinger,MIN,67,19.2,0.5,2.5,3,1,0.7,0.1,0.7,1.1,6.8,2015
Cory Joseph,SAS,79,18.3,0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8,2015
Brian Roberts,CHA,72,18.5,0.2,1.3,1.5,2.2,0.5,0.1,0.8,1,6.7,2015
Darrell Arthur,DEN,58,17,0.9,2,2.9,1,0.8,0.4,0.8,2.5,6.6,2015
Aron Baynes,SAS,70,16,1.6,3,4.5,0.5,0.2,0.3,0.9,2.3,6.6,2015
Kevin Seraphin,WAS,79,15.6,1.1,2.5,3.6,0.7,0.1,0.7,1.2,2.5,6.6,2015
Alexis Ajinca,NOP,68,14.1,1.5,3.1,4.6,0.7,0.3,0.8,1,2.2,6.5,2015
Anthony Tolliver,DET,76,18.9,0.7,2.4,3.1,0.8,0.3,0.2,0.7,1.8,6.3,2015
Jerami Grant,PHI,65,21.2,0.8,2.3,3,1.2,0.6,1,1.3,2.2,6.3,2015
Andrew Bogut,GSW,67,23.6,2.1,6,8.1,2.7,0.6,1.7,1.6,2.8,6.3,2015
Charlie Villanueva,DAL,64,10.6,0.5,1.9,2.3,0.3,0.2,0.3,0.4,1,6.3,2015
Ramon Sessions,WAS,64,18.6,0.4,1.9,2.2,2.8,0.5,0,1.3,1.1,6.3,2015
Alex Len,PHX,69,22,2.1,4.5,6.6,0.5,0.5,1.5,1.1,3.1,6.3,2015
Shane Larkin,NYK,76,24.5,0.4,1.9,2.3,3,1.2,0.1,1.1,2,6.2,2015
Jason Thompson,SAC,81,24.6,1.7,4.8,6.5,1,0.4,0.7,1,3,6.1,2015
Tony Snell,CHI,72,19.6,0.4,2,2.4,0.9,0.4,0.2,0.7,1.2,6,2015
Tarik Black,LAL,63,19,2.3,3.6,5.8,0.7,0.3,0.4,0.8,2.5,6,2015
Otto Porter,WAS,74,19.4,0.9,2,3,0.9,0.6,0.4,0.7,1.3,6,2015
Kyle Singler,OKC,80,21.8,0.4,2,2.4,1.1,0.6,0.3,0.7,1.9,6,2015
Jonas Jerebko,BOS,75,16.4,1.2,2.5,3.8,0.9,0.6,0.2,0.6,1.8,6,2015
Meyers Leonard,POR,55,15.4,0.8,3.7,4.5,0.6,0.2,0.3,0.7,2.1,5.9,2015
Shaun Livingston,GSW,78,18.8,0.6,1.8,2.3,3.3,0.6,0.3,1.3,1.4,5.9,2015
Caron Butler,DET,78,20.8,0.3,2.2,2.5,1,0.6,0.1,0.6,1.5,5.9,2015
Quincy Acy,NYK,68,18.9,1.2,3.3,4.4,1,0.4,0.3,0.9,2.2,5.9,2015
Richard Jefferson,DAL,74,16.8,0.3,2.1,2.5,0.8,0.4,0.1,0.7,1.6,5.8,2015
Spencer Hawes,LAC,73,17.5,0.4,3.1,3.5,1.2,0.3,0.7,0.8,2.4,5.8,2015
Vince Carter,MEM,66,16.5,0.4,1.6,2,1.2,0.7,0.2,0.7,1.5,5.8,2015
Kirk Hinrich,CHI,66,24.4,0.3,1.5,1.8,2.2,0.7,0.2,1.1,2.2,5.7,2015
Pero Antic,ATL,63,16.5,0.9,2.1,3,0.8,0.3,0.2,0.8,2.1,5.7,2015
Al-Farouq Aminu,DAL,74,18.5,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,2015
Cole Aldrich,NYK,61,16,1.7,3.9,5.5,1.2,0.6,1.1,1,2,5.5,2015
Shelvin Mack,ATL,55,15.1,0.1,1.3,1.4,2.8,0.5,0,0.9,0.6,5.4,2015
Drew Gooden,WAS,51,16.9,1.4,3,4.4,1,0.4,0.2,0.5,1.8,5.4,2015
Shawne Williams,DET,63,17.2,0.6,2.1,2.6,0.7,0.4,0.3,0.5,2.1,5.4,2015
Chris Andersen,MIA,60,18.9,1.3,3.7,5,0.7,0.4,1,0.7,1.5,5.3,2015
JaKarr Sampson,PHI,74,15.3,0.5,1.7,2.2,1,0.5,0.4,1,1.8,5.2,2015
Kent Bazemore,ATL,75,17.6,0.3,2.7,3,1,0.7,0.4,1,1.7,5.2,2015
Kosta Koufos,MEM,81,16.6,1.5,3.8,5.3,0.5,0.4,0.8,0.9,1.8,5.2,2015
Dante Cunningham,NOP,66,25,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2,2015
James Ennis,MIA,62,17,0.8,2,2.8,0.8,0.4,0.3,0.6,1.4,5,2015
Joe Ingles,UTA,79,21.2,0.3,1.9,2.2,2.3,0.9,0.1,1.2,1.6,5,2015
Lavoy Allen,IND,63,17,2,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5,2015
Shawn Marion,CLE,57,19.3,1.1,2.4,3.5,0.9,0.5,0.5,0.6,1,4.8,2015
Dante Exum,UTA,82,22.2,0.3,1.3,1.6,2.4,0.5,0.2,1.4,1.8,4.8,2015
Matt Dellavedova,CLE,67,20.6,0.6,1.3,1.9,3,0.4,0,0.9,2.3,4.8,2015
Bismack Biyombo,CHA,64,19.4,2.5,3.9,6.4,0.2,0.3,1.5,0.8,2.2,4.8,2015
Damjan Rudez,IND,68,15.4,0.1,0.6,0.7,0.8,0.2,0.1,0.7,1.2,4.8,2015
Robert Sacre,LAL,67,16.9,1.3,2.1,3.5,0.8,0.4,0.6,0.5,1.8,4.6,2015
Jon Leuer,MEM,63,13.1,0.8,2.5,3.3,0.7,0.3,0.1,0.6,1.4,4.5,2015
James Jones,CLE,57,11.7,0.2,0.9,1.1,0.4,0.2,0.1,0.2,1.2,4.4,2015
Andre Miller,SAC,81,15.5,0.5,1.4,1.9,3.5,0.4,0.1,1.3,1.3,4.4,2015
Nik Stauskas,SAC,73,15.4,0.2,1.1,1.2,0.9,0.3,0.2,0.5,1.3,4.4,2015
Festus Ezeli,GSW,46,10.9,1.3,2.1,3.4,0.2,0.2,0.9,0.7,1.7,4.4,2015
Ian Mahinmi,IND,61,18.8,1.7,4.1,5.8,0.5,0.5,0.8,1,2.8,4.3,2015
Steve Blake,POR,81,18.9,0.2,1.5,1.7,3.6,0.5,0.1,1.3,1.5,4.3,2015
Justin Holiday,GSW,59,11.1,0.2,1,1.2,0.8,0.7,0.2,0.5,0.9,4.3,2015
Udonis Haslem,MIA,62,16,1.1,3,4.2,0.7,0.3,0.2,0.7,1.8,4.2,2015
Nick Calathes,MEM,58,14.4,0.3,1.5,1.8,2.5,1.1,0.1,1.1,1.7,4.2,2015
Nick Collison,OKC,66,16.7,1.4,2.4,3.8,1.4,0.5,0.4,0.7,2.4,4.1,2015
Pablo Prigioni,HOU,67,17.9,0.4,1.3,1.8,2.6,1.2,0,0.9,1.3,4.1,2015
Luke Babbitt,NOP,63,13.2,0.2,1.6,1.8,0.4,0.3,0.2,0.4,1,4.1,2015
Miles Plumlee,MIL,73,16.4,1.5,2.8,4.4,0.5,0.6,0.9,0.7,1.5,4,2015
Glen Davis,LAC,74,12.2,0.6,1.7,2.3,0.5,0.6,0.3,0.5,1.8,4,2015
Hedo Turkoglu,LAC,62,11.4,0.1,1.5,1.6,0.6,0.3,0.1,0.5,1.1,3.7,2015
Matt Bonner,SAS,72,13,0.4,1.2,1.6,0.7,0.1,0.2,0.2,0.9,3.7,2015
Dewayne Dedmon,ORL,59,14.3,2,3,5,0.2,0.3,0.8,0.9,2.4,3.7,2015
Tyler Hansbrough,TOR,74,14.3,1.4,2.1,3.6,0.3,0.4,0.2,0.3,1.9,3.6,2015
Kendrick Perkins,CLE,68,16.9,1.3,3.4,4.7,0.8,0.2,0.6,1.4,2.4,3.6,2015
Andre Roberson,OKC,67,19.2,0.9,2.9,3.8,1,0.8,0.4,0.7,2.1,3.4,2015
Jason Maxiell,CHA,61,14.4,1.4,1.9,3.3,0.3,0.3,0.7,0.5,1.6,3.3,2015
Joey Dorsey,HOU,69,12.4,1.5,2.6,4,0.4,0.6,0.4,0.6,2.3,2.7,2015
E'Twaun Moore,CHI,56,9,0.2,0.6,0.8,0.6,0.4,0.1,0.2,0.8,2.7,2015
Mike Miller,CLE,52,13.5,0.1,1.7,1.8,0.9,0.3,0.1,0.4,1.4,2.1,2015
Stephen Curry,GSW,79,34.2,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2,30.1,2016
James Harden,HOU,82,38.1,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29,2016
Kevin Durant,OKC,72,35.8,0.6,7.6,8.2,5,1,1.2,3.5,1.9,28.2,2016
DeMarcus Cousins,SAC,65,34.6,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,2016
LeBron James,CLE,76,35.6,1.5,6,7.4,6.8,1.4,0.6,3.3,1.9,25.3,2016
Damian Lillard,POR,75,35.7,0.6,3.4,4,6.8,0.9,0.4,3.2,2.2,25.1,2016
Anthony Davis,NOP,61,35.5,2.1,8.1,10.3,1.9,1.3,2,2,2.4,24.3,2016
Russell Westbrook,OKC,80,34.4,1.8,6,7.8,10.4,2,0.2,4.3,2.5,23.5,2016
DeMar DeRozan,TOR,78,35.9,0.8,3.7,4.5,4,1,0.3,2.2,2.1,23.5,2016
Paul George,IND,81,34.8,1,6,7,4.1,1.9,0.4,3.3,2.8,23.1,2016
Isaiah Thomas,BOS,82,32.2,0.6,2.4,3,6.2,1.1,0.1,2.7,2,22.2,2016
Klay Thompson,GSW,80,33.3,0.4,3.4,3.8,2.1,0.8,0.6,1.7,1.9,22.1,2016
Carmelo Anthony,NYK,72,35.1,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,2016
Kyle Lowry,TOR,77,37,0.7,4,4.7,6.4,2.1,0.4,2.9,2.7,21.2,2016
Kawhi Leonard,SAS,72,33,1.3,5.5,6.8,2.6,1.8,1,1.5,1.8,21.2,2016
Jimmy Butler,CHI,67,36.9,1.2,4.2,5.3,4.8,1.6,0.6,2,1.9,20.9,2016
Kemba Walker,CHA,81,35.6,0.7,3.7,4.4,5.2,1.6,0.5,2.1,1.4,20.9,2016
C.J. McCollum,POR,80,34.7,0.6,2.6,3.2,4.3,1.2,0.3,2.5,2.3,20.8,2016
Andrew Wiggins,MIN,81,35.1,1.3,2.3,3.6,2,1,0.6,2.2,2,20.7,2016
Brook Lopez,BRK,73,33.7,2.8,5.1,7.8,2,0.8,1.7,2.4,2.9,20.6,2016
John Wall,WAS,77,36.2,0.5,4.4,4.9,10.2,1.9,0.8,4.1,2.1,19.9,2016
Gordon Hayward,UTA,80,36.2,0.8,4.2,5,3.7,1.2,0.3,2.5,2.3,19.7,2016
Kyrie Irving,CLE,53,31.5,0.8,2.1,3,4.7,1.1,0.3,2.3,2,19.6,2016
Chris Paul,LAC,74,32.7,0.5,3.7,4.2,10,2.1,0.2,2.6,2.5,19.5,2016
Dwyane Wade,MIA,74,30.5,1.1,3,4.1,4.6,1.1,0.6,2.7,1.6,19,2016
Reggie Jackson,DET,79,30.7,0.7,2.5,3.2,6.2,0.7,0.1,2.8,2.4,18.8,2016
Karl-Anthony Towns,MIN,82,32,2.8,7.7,10.4,2,0.7,1.7,2.2,3,18.3,2016
Dirk Nowitzki,DAL,75,31.5,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,18.3,2016
Nikola Vucevic,ORL,65,31.3,2.7,6.2,8.8,2.8,0.8,1.1,1.9,2.7,18.2,2016
